id,id_dosen,senin_pagi,senin_malam,selasa_pagi,selasa_malam,rabu_pagi,rabu_malam,kamis_pagi,kamis_malam,jumat_pagi,jumat_malam,created_at
5,6,true,false,true,false,true,true,true,true,true,true,2025-01-24 22:38:10.989999+00
6,17,true,true,true,true,true,false,false,true,true,false,2025-05-05 22:40:58.427354+00
7,23,false,false,true,true,true,true,true,true,true,true,2025-05-05 22:54:26.333844+00
8,47,true,true,false,false,true,true,true,true,true,true,2025-05-05 22:55:00.99189+00
9,34,true,true,true,true,false,true,true,true,true,true,2025-05-05 22:55:42.905356+00
10,39,true,true,true,true,true,false,true,true,true,true,2025-05-05 22:56:45.891973+00
11,40,true,false,true,true,true,true,true,false,true,true,2025-05-08 07:41:42.217512+00
15,2,false,true,true,true,true,true,true,true,true,true,2025-05-25 12:20:47.174974+00
16,2,true,true,false,true,true,true,true,false,true,true,2025-05-26 15:12:28.413782+00
17,2,false,true,true,true,true,true,true,true,true,true,2025-06-07 09:51:54.996866+00